Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
OLE1549LP,Perfume Genius,Set My Heart On Fire Immediately,Matador,"2xLP, Album",,2020,15311509,"LP - 12""",2020-09-28 00:07:06,,,
OLE-958-1,Fucked Up,"David's Town - 11 Original Hits From Byrdesdale Spa, UK!","Matador, Fucked Up Records","LP, Ltd",,2011,2831055,"LP - 12""",2016-06-02 01:06:04,,,
"OLE 913-1, Heartworm #35",Cold Cave,Love Comes Close,"Matador, Heartworm Press","LP, Album",,2009,1993700,"LP - 12""",2015-09-09 05:46:22,,,
"OLE 1028-1, OLE-1028-1",Perfume Genius,Too Bright,"Matador, Matador","LP, Album",,2014,6110322,"LP - 12""",2015-09-14 07:22:53,,,
"OLE 132-1, ole 132-1",Yo La Tengo,Electr-O-Pura,"Matador, Matador","LP, Album",,1995,1434797,"LP - 12""",2015-09-11 04:52:58,,,
"Ole 856-1, OLE 856-1",Yo La Tengo,Popular Songs,"Matador, Matador","2xLP, Album, 180",,2009,1915274,"LP - 12""",2015-09-11 04:54:33,,,
524901-1,Deftones,White Pony,Maverick,"2xLP, Album, RE",,2010,2448320,"LP - 12""",2016-04-30 19:38:04,,,
RCV1 46847,Madonna,Ray Of Light,"Maverick, Warner Bros. Records","2xLP, Album, Ltd, RE, Cle",,2018,12829593,"LP - 12""",2018-11-24 02:11:01,,,"Grimey's, Nashville"
MRR 017,Los Crudos,Doble LP Discografía,Maximumrocknroll,"2xLP, Comp",,2015,7047745,"LP - 12""",2015-09-14 05:39:13,,,
MCA-5538,Bronski Beat,The Age Of Consent,MCA Records,"LP, Album",,1984,6922532,"LP - 12""",2016-01-17 23:35:12,,,
MCA-23521,Bronski Beat,Smalltown Boy,"MCA Records, London Records","12""",,1984,6548783,"LP - 12""",2015-09-09 05:20:33,,,
MCA-5794,The Communards,Communards,"MCA Records, London Records","LP, Album",,1986,584955,"LP - 12""",2016-09-18 01:39:07,,,
MCQ LP1,The Brilliant Corners,Somebody Up There Likes Me,McQueen Records,"LP, Album",,1988,1374656,"LP - 12""",2015-09-13 23:18:53,,,
MED/9001,Alejandra Guzmán,Eternamente Bella,Melody,"LP, Album",,1990,6183366,"LP - 12""",2019-09-05 02:40:50,,,
none,Timbiriche,Quinceañera,Melody,"12"", Single, Promo",,1986,7025193,"LP - 12""",2019-09-05 02:47:46,,,
MI 8104,Amanda Miguel,El Sonido Vol. 1,Melody Internacional,"LP, Album",,1981,3473713,"LP - 12""",2019-11-16 18:33:55,,,
MITV-121,Flans,Luz Y Sombra,Melody Internacional,"LP, Album, Ins",,1987,6742079,"LP - 12""",2019-09-05 02:46:45,,,
MITV/104,Timbiriche,7,Melody Internacional,"LP, Album",,1987,1642137,"LP - 12""",2019-11-16 18:42:41,,,
"MITV-073, MITV/073",Flans,Flans,"Melody Internacional, Melody Internacional","LP, Album",,1986,5865282,"LP - 12""",2019-11-24 23:36:45,,,
"MELT 011, DR 08",Marbled Eye,EP 2,"Melters (2), Digital Regress","7"", EP",5,2017,10205834,"7""",2018-10-02 00:41:14,,,
MI040LPX2,The Go! Team,"Thunder, Lightning, Strike",Memphis Industries,"LP, Album, Ltd, Red",,2016,8393357,"LP - 12""",2016-04-16 18:12:13,,,
SRM-1-675,New York Dolls,New York Dolls,Mercury,"LP, Album, RE, 180",,2008,1445469,"LP - 12""",2016-01-03 19:00:40,,,
mrg 039,The 6ths,Heaven In A Black Leather Jacket,Merge Records,"7"", Single, Gol",5,1993,528724,"7""",2015-09-18 04:03:27,,,
MRG 411,Wild Flag,Wild Flag,Merge Records,"LP, Album",,2011,3101043,"LP - 12""",2015-09-14 06:28:51,,,
MRG055LP,The Magnetic Fields,The Charm Of The Highway Strip,Merge Records,"LP, Album, RE",,2008,1326146,"LP - 12""",2015-09-14 01:58:03,,,
MRG151,The Magnetic Fields,Holiday,Merge Records,"LP, Album, RE",,2011,3197316,"LP - 12""",2016-05-15 03:49:51,,,
MRG169LP,The Magnetic Fields,69 Love Songs,Merge Records,"6x10"", Album, Ltd, RM",,2010,2193244,"10""",2015-09-11 04:42:00,,,
MRG170,Superchunk,On The Mouth,Merge Records,"LP, Album, RE, RM, 180",,2010,2479849,"LP - 12""",2015-09-11 04:04:13,,,
MRG195LP,Spoon,Girls Can Tell,Merge Records,"LP, Album",,2001,1121112,"LP - 12""",2018-01-16 01:51:47,,,
MRG206,Imperial Teen,On,Merge Records,"LP, Album",,2002,2085291,"LP - 12""",2015-09-10 04:19:24,,,
mrg255,Arcade Fire,Funeral,Merge Records,"LP, Album",,2005,409021,"LP - 12""",2016-11-25 22:49:24,,,
MRG276LP,Camera Obscura,Let's Get Out Of This Country,Merge Records,"LP, Album",,2006,1526494,"LP - 12""",2015-09-09 05:29:01,,,
MRG308,Caribou,Andorra,Merge Records,"LP, Album, 180",,2007,1123013,"LP - 12""",2016-06-12 22:52:28,,,
MRG348,Caribou,Swim,Merge Records,"2x12"", Album",,2010,2233855,"LP - 12""",2016-08-06 02:41:01,,,
MRG415,Archers Of Loaf,Icky Mettle,Merge Records,"LP, Album, Ltd, RE, RM, Blu",,2011,3019264,"LP - 12""",2015-12-24 01:55:04,,,
MRG481,The Mountain Goats,All Hail West Texas,Merge Records,"LP, Album, RE, RM",,2013,4748918,"LP - 12""",2016-04-03 05:20:35,,,
MRG488,Caribou,Our Love,Merge Records,"LP, Album, 180",,2014,6148737,"LP - 12""",2015-09-09 05:30:50,,,
MRG527,Titus Andronicus,The Most Lamentable Tragedy,Merge Records,"2xLP + 12"" + Album",,2015,7274080,"LP - 12""",2015-09-14 04:58:49,,,
MRG549,Waxahatchee,Ivy Tripp,Merge Records,"LP, Album, Ltd, Whi",,2015,6859820,"LP - 12""",2015-12-20 05:06:34,,,
MRG708,Caribou,Suddenly,Merge Records,"LP, Album",,2020,14853317,"LP - 12""",2020-03-01 00:36:05,,,
"MRG091LP, MRG091",The Magnetic Fields,Get Lost,"Merge Records, Merge Records","LP, Album, RE, RM",,2008,1601438,"LP - 12""",2015-09-14 01:58:20,,,
"MRG103LP, MRG 103LP",Neutral Milk Hotel,On Avery Island,"Merge Records, Merge Records","LP, Album",,1996,782876,"LP - 12""",2015-09-14 02:32:03,,,
"MRG136LP, MRG136",Neutral Milk Hotel,In The Aeroplane Over The Sea,"Merge Records, Merge Records","LP, Album",,1998,566284,"LP - 12""",2015-09-14 02:33:55,,,
"MRG075, MRG075-1, MRG075-2",The Magnetic Fields,The Wayward Bus / Distant Plastic Trees,"Merge Records, Merge Records, Merge Records","LP, Album, RE, RM + LP, Album, RE, RM + Comp, RE, ",,2016,9322543,"LP - 12""",2016-12-03 02:40:01,,,
MMX-5621,Tiberio Y Sus Gatos Negros,Incontenibles,Mericana Records,"LP, Album",,1978,3469052,"LP - 12""",2020-01-23 18:07:42,,,
MEX 053,Best Coast,Crazy For You,Mexican Summer,"LP, Album",,2010,3229084,"LP - 12""",2017-02-06 01:14:28,,,
MEX 057,Tamaryn,The Waves,Mexican Summer,"LP, Album, Ltd, Num",,2010,2525148,"LP - 12""",2015-09-28 01:55:34,,,
MEX 067,No Joy,Ghost Blonde,Mexican Summer,"LP, Album, Ltd, Num",,2010,2695921,"LP - 12""",2016-12-18 01:43:43,,,
MEX 179,Connan Mockasin,Caramel,Mexican Summer,"LP, Album, Ltd, Num, Ran",,2013,5193663,"LP - 12""",2015-12-07 00:24:44,,,Black with white marble vinyl
MEX 214,Pill (6),Convenience,Mexican Summer,"LP, Album",,2016,8928498,"LP - 12""",2019-08-26 00:55:41,,,
MEX108,Light Asylum,Light Asylum,Mexican Summer,"LP, Album, Ltd, Num, Ora",,2012,3560504,"LP - 12""",2015-09-11 02:10:44,,,
MEX125,Tamaryn,Tender New Signs,Mexican Summer,"LP, Album",,2012,4414303,"LP - 12""",2016-05-02 05:08:24,,,
MEX148,No Joy,Wait To Pleasure,Mexican Summer,"LP, Album, Ltd, Gat",,2013,4531759,"LP - 12""",2017-02-05 06:51:37,,,
MEX200,No Joy,More Faithful,Mexican Summer,"LP, Album",,2015,7103829,"LP - 12""",2016-12-18 01:45:57,,,
MEX202,Tamaryn,Cranekiss,Mexican Summer,"LP, Album",,2015,7404435,"LP - 12""",2015-09-19 06:59:45,,,
MEX240,Ariel Pink,Dedicated To Bobby Jameson,Mexican Summer,"LP, Album, Ltd, Blu",,2017,10851996,"LP - 12""",2017-11-11 23:54:20,,,
"MEX088, MEX 088-1",Light Asylum,In Tension E.P.,"Mexican Summer, Mexican Summer","12"", EP",,2011,2939349,"LP - 12""",2015-09-11 02:09:45,,,
"MEX189, MEX 189",Viet Cong (2),Cassette,"Mexican Summer, Mexican Summer","12"", EP, Ltd, Num, RE",,2014,5852827,"LP - 12""",2015-09-11 04:46:37,,,
BKL1-1369,Silver Convention,Silver Convention,Midland International,"LP, Album",,1976,935775,"LP - 12""",2015-09-14 03:57:47,,,
MLN1-36720,Disasterpeace,It Follows,Milan,"LP, Album, Ltd, Blu",,2015,6758927,"LP - 12""",2015-10-26 02:25:48,,,
"MLN1-36768, M1-36768",Mark Korven,The VVitch (A New-England Folktale) (Original Motion Picture Soundtrack),"Milan, Milan","LP, Album, Ltd, Sil",,2016,8477845,"LP - 12""",2016-06-09 18:39:01,,,
none,Courtney Barnett,"Sometimes I Sit And Think, And Sometimes I Just Sit",Milk! Records,"Cass, Album, Ltd, Ora",,2016,9169499,Cassettes,2017-09-30 16:20:00,,,
062,Xiu Xiu,House Plant Music,Miniature Garden,"Cass, S/Sided, Album, Ltd",5,2016,8142806,Cassettes,2016-02-20 07:48:26,,,
072,Xiu Xiu,CucKoo,Miniature Garden,"Cass, EP, Ltd",,2017,11084345,Cassettes,2018-12-07 19:02:25,,,
MNWX 2,Au Pairs,Sense And Sensuality,MNW,"LP, Album",,1982,702715,"LP - 12""",2016-04-16 17:58:02,,,
314-540-970-1,UNKLE,Psyence Fiction,Mo Wax,"2xLP, Album, Gat",,1998,768202,"LP - 12""",2016-07-23 19:25:38,,,
697 124 123-1,DJ Shadow,Endtroducing.....,"Mo Wax, FFRR","2xLP, Album",,1996,59125,"LP - 12""",2015-09-19 07:33:59,,,
MFSL 1-393,Weezer,Pinkerton,Mobile Fidelity Sound Lab,"LP, Album, Ltd, Num, RE, RM, Gat",,2013,4702208,"LP - 12""",2016-02-21 01:34:22,,,
MFSL 1-278,Aimee Mann,Lost In Space,"Mobile Fidelity Sound Lab, SuperEgo Records, United Musicians","LP, Album, Ltd, Num",5,2006,1860386,"LP - 12""",2015-09-11 02:17:59,,,
"MFSL 1-390, B0016078-01",Weezer,Weezer,"Mobile Fidelity Sound Lab, Universal Music Special Markets","LP, Album, Ltd, Num, RE, RM, S/Edition, 180",,2012,3923945,"LP - 12""",2016-02-21 01:35:26,,,
MCR 902B,D'Angelo,Voodoo,Modern Classics Recordings,"2xLP, Album, RE",,2012,4086294,"LP - 12""",2017-01-16 04:40:51,,,
Love 101,Andy Stott,Too Many Voices,Modern Love,"2xLP, Album, Ltd, Pin",,2016,8386406,"LP - 12""",2016-05-15 03:52:44,,,
LOVE079,Andy Stott,Luxury Problems,Modern Love,"2xLP, Album",5,2012,3976067,"LP - 12""",2016-06-06 02:00:58,,,
LOVE098,Andy Stott,Faith In Strangers,Modern Love,"2xLP, Album",,2014,6312878,"LP - 12""",2016-06-05 00:45:23,,,
LOVE114,Andy Stott,It Should Be Us,Modern Love,"2x12"", EP",,2019,14376824,"LP - 12""",2020-02-16 00:31:17,,,
A1 90084,Stevie Nicks,The Wild Heart,Modern Records,"LP, Album, Pit",,1983,9438271,"LP - 12""",2019-04-29 01:44:28,,,
MR 38-139,Stevie Nicks,Bella Donna,Modern Records,"LP, Album, Spe",,1981,1224331,"LP - 12""",2019-04-29 02:33:40,,,
MR 3B,Pink Section,Pink Section,Modern Records (3),"12"", EP",,1980,1110569,"LP - 12""",2017-02-06 01:24:19,,,
MODVL128,Tame Impala,Innerspeaker,Modular Recordings,"2xLP, Album",,2010,2785620,"LP - 12""",2016-07-31 06:49:59,,,
MODVL161,Tame Impala,Lonerism,Modular Recordings,"2xLP, Album",,2012,3937552,"LP - 12""",2018-03-03 23:56:10,,,
MODVL172,Cut Copy,Bright Like Neon Love,Modular Recordings,"LP, Album",,2013,4491753,"LP - 12""",2016-05-15 03:47:00,,,
MP160-1,Courtney Barnett,The Double EP: A Sea Of Split Peas,Mom + Pop,"2xLP, EP, Comp",,2014,6534663,"LP - 12""",2016-02-13 23:28:35,,,
MP350,Courtney Barnett,Tell Me How You Really Feel,"Mom + Pop, Milk! Records, Marathon Artists","LP, Album, Ltd, Red",,2018,12008619,"LP - 12""",2018-05-19 21:43:09,,,
MOND-046,Various,Lucio Fulci's Horror & Thriller,Mondo (3),"2xLP, Album, Comp, Ltd",,2015,7191035,"LP - 12""",2015-09-14 20:02:43,,,
MOND-047,Riz Ortolani,Cannibal Holocaust,"Mondo (3), Grindhouse Releasing","LP, RE, RM, Gre",,2015,6618260,"LP - 12""",2015-09-14 20:01:29,,,
MOND-040,Howard Shore,Scanners (Original Motion Picture Soundtrack) / The Brood ,"Mondo (3), Howe Records (2)","LP, Comp, Gra",,2015,6580282,"LP - 12""",2015-09-14 20:05:42,,,
2824ML,Smokey Robinson And The Miracles,Great Songs And Performances That Inspired The Motown 25th Anniversary T.V. Special,Motown,"LP, Comp, RP",,1983,4536246,"LP - 12""",2015-09-24 01:14:14,,,
M5-137V1,The Originals,"Baby, I'm For Real",Motown,"LP, Album, RE",,1981,9229105,"LP - 12""",2019-08-23 21:10:36,,,
MS 616,Mary Wells,Greatest Hits,Motown,"LP, Comp",,1965,13117902,"LP - 12""",2019-08-28 06:45:25,,,
"M 741L, M 741-L",The Jackson 5,Greatest Hits,"Motown, Motown","LP, Comp",,1971,687056,"LP - 12""",2016-02-29 02:38:03,,,
"MS 649, S 649",The Supremes,A' Go-Go,"Motown, Motown","LP, Album, Hol",,1966,1574185,"LP - 12""",2018-05-19 22:22:43,,,
B0025337-01,Erykah Badu,Mama's Gun,"Motown, UMe","2xLP, Album, RE, RM, Gat",,2016,9220574,"LP - 12""",2016-11-25 22:56:42,,,
MR 329,Los Saicos,¡Demolición! The Complete Recordings,Munster Records,"LP, Comp",,2013,4619105,"LP - 12""",2017-10-06 02:54:28,,,
000156,The Ronettes,The Colpix Years (1961-1963),Murray Hill Records,"LP, Album, RE",,1985,3244223,"LP - 12""",2015-09-24 01:05:52,,,
EDI 60631,Parchis,Parchis,Musart,"LP, Album",,1981,6458024,"LP - 12""",2019-11-16 18:44:06,,,
"MOVLP404, none",Pulp,Different Class,"Music On Vinyl, Island Records","LP, Album, RE, 180",,2011,3146582,"LP - 12""",2015-10-25 03:33:22,,,
MWM5112,Solange (2),Sol-Angel And The Hadley St. Dreams,Music World Music (2),"2xLP, Album",,2010,2529897,"LP - 12""",2019-03-02 23:44:19,,,
5-9287,The Knife,Shaken-Up Versions,Mute,"LP, Red + LP, Blu + MiniAlbum",,2014,6413353,"LP - 12""",2015-09-10 04:40:59,,,
9326-1,The Knife,Silent Shout,Mute,"2xLP, Album",,2006,969630,"LP - 12""",2015-09-10 04:38:37,,,
9408-1,Fever Ray,Fever Ray,Mute,"LP, Album",,2009,2237061,"LP - 12""",2016-08-28 04:00:22,,,
9510-1,M83,"Hurry Up, We're Dreaming.",Mute,"2xLP, Album",,2011,3169606,"LP - 12""",2016-01-17 23:30:09,,,
MIR 003,Throbbing Gristle,20 Jazz Funk Greats,Mute,"LP, Album, RE",,1983,151648,"LP - 12""",2015-09-22 00:45:27,,,
MUT 9701-1,Fever Ray,Plunge,Mute,"LP, Album, 180",,2018,11602959,"LP - 12""",2018-03-03 23:45:16,,,
STUMM 225,Liars,"They Were Wrong, So We Drowned",Mute,"LP, Album, Whi",,2004,2767466,"LP - 12""",2016-04-24 22:28:12,,,
STUMM 287,Liars,Liars,Mute,"LP, Album, Whi",,2007,1058276,"LP - 12""",2016-06-12 22:56:17,,,
STUMM315,Liars,Sisterworld,Mute,"2xLP, Album, Del + 2xCD, Album",,2010,2204577,"LP - 12""",2016-08-28 03:36:52,,,
"9299-1, 9299-2",M83,M83,"Mute, Mute","2xLP, Album, RE + CD, Album, RE",,2008,1864216,"LP - 12""",2016-01-17 23:38:23,,,
"9628-1, 9628-3",New Order,Music Complete,"Mute, Mute","2xLP, Album, Ltd, Cle",,2015,7522645,"LP - 12""",2015-12-20 05:10:28,,,
"9251-1, 9251-2",M83,"Dead Cities, Red Seas & Lost Ghosts","Mute, Mute, Mute Corporation, Mute Corporation","2xLP, Album + CD, Album + RE",,2009,1646509,"LP - 12""",2015-08-31 02:38:21,,,
"MUTE 9384-1, MUTE 9384-2",M83,Saturdays = Youth,"Mute, Mute, Mute Corporation, Mute Corporation","2xLP, Album + CD, Album",,2008,1572883,"LP - 12""",2015-09-13 03:46:02,,,
#17,Sonic Youth • Lydia Lunch,Death Valley 69,My So Called Records,"7"", Single, RE",5,1995,383662,"7""",2015-09-18 03:50:24,,,
"syr #03, my so-called records #03",Sonic Youth,A Thousand Leaves,"My So Called Records, My So Called Records","2xLP, Album",,1998,518380,"LP - 12""",2015-09-11 03:38:43,,,
B0014722-01,Rye Rye,Go! Pop! Bang!,"N.E.E.T., Interscope Records","LP, Album, Ltd, Pin",,2012,3699475,"LP - 12""",2016-08-20 22:07:24,,,
B0019325-01,M.I.A. (2),Matangi,"N.E.E.T., Interscope Records","2xLP, Album, Gat",,2013,5126620,"LP - 12""",2015-12-06 04:42:04,,,
nitc040,Xiu Xiu,Chapel Of The Chimes,Nail In The Coffin,"12"", EP",,0,1228603,"LP - 12""",2014-03-26 04:28:08,,,
NCK7067,The Fall,The Real New Fall LP (Formerly Country On The Click),Narnack Records,"LP, Album, Ltd, RE, RM, Bur",,2016,8396574,"LP - 12""",2016-04-16 18:03:18,,,
"NACK002, NACK-002",Sonic Youth / Erase Errata,Mariah Carey And The Arthur Doyle Handcream / Glitter,"Narnack Records, Narnack Records","7""",5,2003,1603886,"7""",2015-09-18 04:04:32,,,
NC 8333011,T. Rex,Greatest Hits,Neon (2),"Cass, Comp",,0,4800186,Cassettes,2017-09-30 17:02:08,,,
NAR 030,Ciccone Youth,Burnin' Up,New Alliance Records,"7"", Single",5,1986,1188046,"7""",2015-09-18 03:48:15,,,
NW 244,Various,Caliente = Hot (Puerto Rican And Cuban Musical Expression In New York),New World Records,"LP, Gat",,1977,2814279,"LP - 12""",2016-12-24 22:26:07,,,
NP180,Merchandise (2),Totale Nite,Night People,LP,,2013,4427264,To Sell,2015-09-14 02:01:59,,,
ZEN179,Yppah,Eighty One,Ninja Tune,"2xLP, Album, Ltd, 180",,2012,3503004,"LP - 12""",2016-07-31 06:51:48,,,
ZEN241X,Actress,AZD,Ninja Tune,"2xLP, Album, Ltd, Cle",,2017,10120029,"LP - 12""",2017-12-22 22:38:55,,,
ZEN243,Forest Swords,Compassion,Ninja Tune,"LP, Album",,2017,10239675,"LP - 12""",2018-01-16 01:57:29,,,
ZEN244,Bicep,Bicep,Ninja Tune,"2xLP, Album",,2017,10758104,"LP - 12""",2017-11-12 00:01:09,,,
ZEN248X,Young Fathers,Cocoa Sugar ,Ninja Tune,"LP, Album, Ltd, Blu",,2018,11673385,"LP - 12""",2018-08-18 04:03:21,,,
nios11,Xiu Xiu,Plays The Music Of Twin Peaks,NIOS,"Cass, Album",,2016,9177317,Cassettes,2016-10-26 20:08:29,,,
nios13,Xiu Xiu,Forget,NIOS,"Cass, Album, Ltd, Num, Lig",,2017,9954050,Cassettes,2017-06-15 22:14:36,,,
NITRO 15824-1,AFI,Black Sails In The Sunset,Nitro Records,"LP, Album, Ltd, Gre",,1999,994372,"LP - 12""",2016-11-25 18:01:31,,,
NTO-36717-01,AFI,All Hallow's E.P.,Nitro Records,"10"", EP, RE, Tra",,2020,15962643,"10""",2020-11-08 23:20:25,,,
NIR-049,I Hate Myself,10 Songs,No Idea Records,"LP, Album, RP",,1998,4017806,"LP - 12""",2019-04-14 23:47:11,,,
NO IDEA #83,Palatka,The End Of Irony,No Idea Records,"LP, S/Sided, Etch",,1999,1829429,"LP - 12""",2015-09-14 02:45:31,,,
NO IDEA 129,Against Me!,Reinventing Axl Rose,No Idea Records,"LP, Album, RP, Gre",,2003,5694156,"LP - 12""",2015-12-24 01:55:48,,,
MVD5676LP,Acid Mothers Temple & The Melting Paraiso UFO,Cometary Orbital Drive To 2199,Nod And Smile Records,"2xLP, Album, Ltd",,2013,4361280,"LP - 12""",2016-07-31 06:53:42,,,
519594-1,The Magnetic Fields,Realism,Nonesuch,"LP, Album + CD, Album",,2010,2155917,"LP - 12""",2017-11-11 23:56:35,,,
79850-0,The Magnetic Fields,I Thought You Were My Boyfriend,Nonesuch,"12""",,2004,352521,"LP - 12""",2015-09-14 01:58:28,,,
NNF195,LA Vampires Meets Zola Jesus,LA Vampires Meets Zola Jesus,Not Not Fun Records,"12"", Ltd",,2010,2349358,"LP - 12""",2015-09-19 07:16:04,,,
DOD001,The Dodos,Beware Of The Maniacs,Not On Label,"LP, Album",,2006,1923435,"LP - 12""",2015-09-14 00:03:16,,,
LP8143/986 639-6,PJ Harvey,Uh Huh Her,Not On Label,"LP, Album, Unofficial",,0,6265127,"LP - 12""",2015-10-16 02:17:27,,,
none,Xiu Xiu,La Forêt,Not On Label,"10"", Whi + 10"", Red + Album, Ltd",,2005,1192232,"10""",2014-03-26 04:23:01,,,
none,Ex-Boyfriends,Line In / Line Out,Not On Label,"LP, Album",,2010,5529208,"LP - 12""",2015-09-14 00:10:14,,,
none,Neon Nazis / Hips (3),Neon Nazis / Hips,Not On Label,"7""",5,2006,1652198,"7""",2015-09-18 03:27:10,,,
none,Occam's Razor (4),Letters From The Slave Auction,Not On Label,"7""",5,0,3477496,"7""",2015-09-18 03:32:39,,,
none,Los Yetis,Colombia’s #1 Beat Punk Band Of The 1960’s - Historia Verdad De Los Yetis,Not On Label,"LP, Comp, Unofficial",,0,3834084,"LP - 12""",2015-11-01 07:26:55,,,
none,On Parade,Demo 2010,Not On Label,Cass,,2010,3553861,Cassettes,2017-09-30 16:47:04,,,
none,Fucked Up,Fucked Up Mixtape 3,Not On Label,"Cass, Comp",,2009,1734473,Cassettes,2017-09-30 20:25:07,,,
none,Pink Section,Tour Of China / Shopping,Not On Label,"7"", Single",5,1979,1110136,"7""",2018-10-02 00:15:14,,,
ASDG002,A Sunny Day In Glasgow,"Autumn, Again",Not On Label (A Sunny Day In Glasgow Self-released),"LP, Album, Ltd, Mar",,2010,2454454,"LP - 12""",2015-10-25 03:36:54,,,
none,Dicks,Peace?,Not On Label (Dicks),"7"", EP, Unofficial",5,0,957936,"7""",2015-09-14 20:25:25,,,
FRANKOCEANLP002,Frank Ocean,Channel Orange,Not On Label (Frank Ocean),"2xLP, Album, Ltd, Unofficial, Pur",,0,6102889,"LP - 12""",2017-04-27 03:14:39,,,
none,Jamie Stewart (2),"Ambient, Experimental And Minimalist Subscription Series",Not On Label (Jamie Stewart Self-released),"13xCDr, Ltd, Del",,2009,3580085,CD,2015-09-09 06:58:58,,,
none,Loma Prieta,With A Moment Of Silence All Was Lost / Welcome To Spring Break 1989,Not On Label (Loma Prieta Self-released),"CDr, B/card, Single",,2005,3035851,CD,2015-09-14 01:30:34,,,
none,Niégalo Todo,Absurdo Escepticismo Superficial ,Not On Label (Niégalo Todo Self-released),Cass,,2015,7405491,Cassettes,2017-09-30 16:46:28,,,
none,Noname (18),Telefone,Not On Label (Noname (18) Self-released),"LP, Mixtape, RE",,2018,11419636,"LP - 12""",2018-03-03 23:41:46,,,
none,Occam's Razor (4),Letters From The Slave Auction,Not On Label (Occam's Razor (4) Self-released),"7"", Num, W/Lbl, Ivo",5,2004,3255591,"7""",2016-01-17 23:23:06,,,
none,Parenthetical Girls,A Parenthetical Girls Family Christmas,Not On Label (Parenthetical Girls Self-released),CDr,,2006,5443034,CD,2015-02-24 00:18:20,,,
none,The Jesus And Mary Chain,Send Me Away - Early Demos,Not On Label (The Jesus And Mary Chain),"LP, Comp, Unofficial, Cle",,2011,6873471,"LP - 12""",2016-01-18 18:11:34,,,
none,Xiu Xiu,I'm Keeping My Baby! OST,Not On Label (Xiu Xiu Self-released),"9xFile, MP3, Album",5,2014,6703137,"7""",2015-04-20 00:15:38,,,
"USA 002, PRNL 017",Milk Music,Cruise Your Illusion,"Not On Label, Perennial",LP,,2013,4296913,"LP - 12""",2015-09-14 02:13:45,,,
NFJM 030,Various,NFJM 030,Nothing Fancy Just Music,"12"", Ltd",,2011,2785460,"LP - 12""",2015-12-07 20:14:05,,,
B0026362-01,Various,Lost Highway,"Nothing Records, Interscope Records","2xLP, Comp, RE",,2017,10288838,"LP - 12""",2017-08-13 02:07:05,,,
"NOTOWN003LP, GI-123LP",Gold Panda,Lucky Shiner,"Notown (2), Ghostly International","LP, Album",,2010,2495292,"LP - 12""",2016-08-28 03:55:27,,,
NUDE001,Boy Harsher,Lesser Man (Extended Version),Nude Club Records,"12"", EP, Ltd, RE",,2018,11810704,"LP - 12""",2019-11-17 23:06:16,,,
NUDE002,Boy Harsher,Yr Body Is Nothing,Nude Club Records,"LP, Album, RE",,2018,11810769,"LP - 12""",2020-01-23 08:07:38,,,
NUDE005,Boy Harsher,Careful,Nude Club Records,"LP, Album, Ltd, Whi",,2019,13141014,"LP - 12""",2019-03-17 20:46:38,,,
JR040,Bedhead,Beheaded,Numero Group,"LP, Album, RE, 180",,2014,6290364,"LP - 12""",2020-02-17 23:30:43,,,
"202.4, N202.4",Unwound,No Energy,"Numero Group, Numero Group","LP, Album, RE, RM + LP, Album, RE, RM + LP, Comp +",,2014,6123726,"LP - 12""",2016-04-16 18:48:02,,,
"202.2, N 202.2, NUMERO 202.2",Unwound,Kid Is Gone,"Numero Group, Numero Group, Numero Group","LP, Comp + LP, Album, RE + LP, Comp + Box, Comp, L",,2013,4921003,"LP - 12""",2018-12-30 00:38:23,,,
"202.3, N 202.3, NUMERO 202.3",Unwound,Rat Conspiracy,"Numero Group, Numero Group, Numero Group","LP, Album, RE, RM + LP, Album, RE, RM + LP, Comp, ",,2014,5507021,"LP - 12""",2019-06-29 21:43:08,,,
"202.5, N 202.5, NUM 202.5",Unwound,Empire,"Numero Group, Numero Group, Numero Group","LP, Album, RE, RM + 2xLP, Album, RE, RM + LP, Comp",,2015,7378879,"LP - 12""",2020-09-13 23:49:11,,,
ODD020,The Blanche Hudson Weekend / Horowitz,Oddbox Records Singles Club (1),Odd Box Records,"7"", Single, Ltd, Num",5,2011,3060279,"7""",2015-09-14 21:09:17,,,
OSV-21653,The Rocky Horror Picture Show,The Rocky Horror Picture Show,Ode Records (2),"LP, Album, PRC",,1975,5576539,"LP - 12""",2015-09-14 20:08:48,,,
OD-66,Little Richard,Paris 1966,Odio Disques,"LP, Unofficial",,0,3321293,"LP - 12""",2015-09-18 01:07:31,,,
OED-002,Xiu Xiu / This Song Is A Mess But So Am I,"Split 7""",Oedipus Records,"7"", Single, Pur",5,2004,4372906,"7""",2014-03-26 04:28:30,,,
OED008,Casiotone For The Painfully Alone / Foot Foot,Casiotone For The Painfully Alone / Foot Foot,Oedipus Records,"7"", Ltd",5,2007,918039,"7""",2015-09-14 20:57:35,,,
OED010,Parenthetical Girls,Safe As Houses,Oedipus Records,"LP, Album",,2006,1396575,"LP - 12""",2014-03-26 04:35:09,,,
"OED 005, OED005",This Song Is A Mess But So Am I / BARR,Piles And Piles / Then Then If,"Oedipus Records, Oedipus Records","7"", Single",5,2005,1396072,"7""",2015-09-18 04:12:41,,,
