Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
"5284821-A/B, 5284831-C/D",Radiohead,Kid A,Capitol Records,"2x10"", Album, Ltd, RE, 140",,2008,1450555,"10""",2015-09-11 04:38:39,,,
7243 8 55229 1 8,Radiohead,OK Computer,Capitol Records,"2xLP, Album, Ltd, RE, 180",,2008,1587168,"LP - 12""",2016-03-05 17:57:45,,,
"DT 1808, DT-1808",The Beach Boys,Surfin' Safari,"Capitol Records, Capitol Records","LP, Album, Los",,1962,9380734,"LP - 12""",2019-04-29 03:19:50,,,
"S11-56854, SN-16302",Kraftwerk,The Man Machine,"Capitol Records, Capitol Records","LP, Album, RE",,1993,57161,"LP - 12""",2015-09-11 02:07:22,,,
CT 20,Brilliant Colors,Brilliant Colors,Captured Tracks,"12"", EP, Comp",,2009,2227264,"LP - 12""",2016-07-31 06:54:54,,,
CT-001,Dum Dum Girls,Dum Dum Girls,Captured Tracks,"12"", EP, RP",,2010,2533804,"LP - 12""",2015-10-25 04:33:00,,,
CT-002,Blank Dogs,Seconds,Captured Tracks,"12"", EP, Ltd",,2009,1674179,"LP - 12""",2015-09-09 05:03:02,,,
CT-085,The Soft Moon,The Soft Moon,Captured Tracks,"Cass, Album, RE",,2015,7019371,Cassettes,2017-09-30 16:36:56,,,
CT-124,The Soft Moon,Total Decay EP,Captured Tracks,"12"", EP, Ltd, Whi",,2011,3228995,"LP - 12""",2015-09-28 01:49:55,,,
CT-140,Mac DeMarco,Rock And Roll Night Club,Captured Tracks,"12"", EP",,2012,3573967,"LP - 12""",2015-09-14 05:24:24,,,
CT-152.2,The Wake,Here Comes Everybody + Singles 1983 - 1987,Captured Tracks,"2xLP, Album, RE, RP",,2015,7664485,"LP - 12""",2016-07-02 03:21:25,,,
CT-156,The Soft Moon vs. John Foxx And The Maths,Evidence,Captured Tracks,"7"", S/Sided, Ltd, cle",5,2012,3728020,"7""",2015-09-28 01:51:08,,,
CT-159,Holograms,Holograms,Captured Tracks,"LP, Album, Ltd, Cle",,2012,3786790,"LP - 12""",2015-09-14 00:37:17,,,
CT-165,The Soft Moon,Zeros,Captured Tracks,"LP, Album",,2012,3991834,"LP - 12""",2015-09-12 18:31:10,,,
CT-165,The Soft Moon,Zeros,Captured Tracks,"Cass, Album",,2015,7019339,Cassettes,2017-09-30 16:37:44,,,
CT-166,Naomi Punk,The Feeling,Captured Tracks,"LP, Album",,2012,4548895,"LP - 12""",2015-09-14 02:30:12,,,
CT-186,Holograms,Forever,Captured Tracks,"LP, Album, Ltd, Bro",,2013,4899616,"LP - 12""",2015-09-14 00:40:18,,,
CT-192,Perfect Pussy,Say Yes To Love,Captured Tracks,"LP, Album",,2014,5505855,"LP - 12""",2015-09-14 02:56:13,,,
CT-218,The Soft Moon,Deeper,Captured Tracks,"LP, Album",,2015,6642465,"LP - 12""",2015-09-09 06:42:48,,,
CT-218,The Soft Moon,Deeper,Captured Tracks,"Cass, Album",,2015,6850120,Cassettes,2017-09-30 16:37:56,,,
CT-228,Mac Demarco,Another One,Captured Tracks,"LP, MiniAlbum",,2015,7286335,"LP - 12""",2015-09-14 05:27:31,,,
CT-231,DIIV,Is The Is Are,Captured Tracks,"2xLP, Album",,2016,8040863,"LP - 12""",2016-03-17 03:50:23,,,
CT-258,B Boys,Dada,Captured Tracks,"LP, Album",,2017,10497732,"LP - 12""",2017-06-30 02:27:53,,,
CT-40,Cosmetics (4),Soft Skin,Captured Tracks,"7"", Ltd",5,2010,2177533,"7""",2015-09-18 04:17:31,,,
CT-68,Wild Nothing,Gemini,Captured Tracks,"LP, Album",,2010,2298495,"LP - 12""",2017-08-12 19:33:47,,,
CT-79,Wild Nothing,Golden Haze,Captured Tracks,"Cass, EP",,2010,3232950,Cassettes,2017-09-30 20:37:30,,,
CT198,Cosmetics (4),Olympia ...Plus,Captured Tracks,"LP, Comp, Ltd",,2014,5612190,"LP - 12""",2015-09-09 05:51:47,,,
CT83,Blank Dogs,Land And Fixed,Captured Tracks,"LP, Album",,2010,2487170,"LP - 12""",2016-03-26 05:24:29,,,
CT85,The Soft Moon,The Soft Moon,Captured Tracks,"LP, Album, Ltd, RP, Red",,2015,6955826,"LP - 12""",2015-09-09 06:42:59,,,
"CT-264, B0026285-01",The 6ths,Wasps' Nests,"Captured Tracks, Republic Records, Universal Music Special Markets","LP, Album, Ltd, RE, Whi",5,2017,11023725,"LP - 12""",2017-11-21 03:24:25,,,
CAROL 1465-4,The Smashing Pumpkins,Lull,Caroline Records,"Cass, EP",,1991,1155714,Cassettes,2015-11-17 03:14:06,,,
CAROL MC 1371,Naked Raygun,Understand?,Caroline Records,"Cass, Album",,1989,3393731,Cassettes,2017-09-30 21:04:02,,,
"CAROL 1705, CAR 1705, 17046170512",The Smashing Pumpkins,Gish,"Caroline Records, Caroline Records, Caroline Records","LP, Album, RE, RM",,0,673473,"LP - 12""",2015-09-11 03:18:07,,,
7243 8 45879 1 8,The Smashing Pumpkins,Adore,"Caroline Records, Virgin","LP + LP, S/Sided + Album, Mono",,1998,445653,"LP - 12""",2015-09-11 03:21:27,,,
"CAROL 1740 1, 0170 4 61740 1 5",The Smashing Pumpkins,Siamese Dream,"Caroline Records, Virgin","2xLP, Album, Ora",,1993,667822,"LP - 12""",2015-09-11 03:19:08,,,
CAK 70,Cloud Nothings,Attack On Memory,Carpark Records,"LP, Album, 180",,2012,3370640,"LP - 12""",2015-09-14 06:07:36,,,
CAK128,The Beths,Future Me Hates Me,Carpark Records,"LP, Album, RP, Ora",,2019,13222700,"LP - 12""",2020-02-05 02:18:11,,,
Carpark 42,Beach House,Devotion,Carpark Records,"2xLP, Album",,2008,1259328,"LP - 12""",2016-06-06 02:04:26,,,
CAK92,Cloud Nothings,Here And Nowhere Else,"Carpark Records, Mom + Pop","LP, Album",,2014,5538523,"LP - 12""",2015-09-14 06:06:47,,,
B0017777-01,Crystal Castles,(III),Casablanca,"LP, Album",,2012,4161491,"LP - 12""",2015-09-10 03:43:12,,,
NBLP 7084,Parliament,Funkentelechy Vs. The Placebo Syndrome,Casablanca,"LP, Album, Ric",,1977,11725314,"LP - 12""",2019-08-28 06:59:32,,,
CF 052,Coachwhips,Bangers Vs. Fuckers,Castle Face,"LP, Album, Ltd, RE, RM",,2015,6912535,"LP - 12""",2016-09-16 05:30:57,,,
CF-011,The Mallard (2),Yes On Blood,Castle Face,LP,,2012,3831375,"LP - 12""",2016-05-15 21:58:30,,,
DCS-1049,Mecano,Exitos De Mecano,CBS,"LP, Comp",,1983,3560629,"LP - 12""",2019-11-24 23:44:18,,,
DMN-463691,Ana Gabriel,Quién Como Tú,CBS,"LP, Album",,1989,8726371,"LP - 12""",2019-11-16 18:46:27,,,
CH122LP,The Twerps (2),Range Anxiety,Chapter Music,"LP, Album",,2015,6559422,"LP - 12""",2016-09-18 02:02:44,,,
CRB 1006,Betty Everett,Hot To Hold,Charly R&B,"LP, Comp",,1980,2624566,"LP - 12""",2017-01-23 03:42:06,,,
"CHÉ 32, che32",Seam,Hey Latasha / Mellow Noise U.S.A.,"ché, ché","7""",5,1995,536538,"7""",2015-02-24 00:21:14,,,
"CHER 11, DRL 055",Tullycraft,City Of Subarus,"Cher Doll Records, Darla Records","LP, Album",,1998,1193830,"LP - 12""",2018-01-21 23:14:37,,,
B-RED 63,Felt,The Strange Idols Pattern And Other Short Stories,Cherry Red,"LP, Album",,1984,467516,"LP - 12""",2016-11-12 03:42:26,,,
BRED 36,Eyeless In Gaza,Drumming The Beating Heart,Cherry Red,"LP, Album",,1982,519921,"LP - 12""",2016-06-06 02:02:19,,,
crp101,Teenage Jesus And The Jerks,Shut Up And Bleed,Cherry Red Phonograph,"LP, Comp",,2010,2397307,"LP - 12""",2015-10-02 00:28:45,,,
CHC-9106,Bo Diddley,His Greatest Sides: Volume One,Chess,"Cass, Comp, Club",,0,4586476,Cassettes,2017-09-30 17:04:52,,,
COSR004,Chicks On Speed / Kreidler,The Chicks On Speed / Kreidler Sessions,Chicks On Speed Records,"12""",,2001,47059,"LP - 12""",2015-09-13 00:29:03,,,
COSR012PIC,Chicks On Speed,99 ¢,Chicks On Speed Records,"LP, Album, Ltd, Num, Pic",,2003,262213,"LP - 12""",2015-09-13 00:28:24,,,
no.001,Chicks On Speed,Chicks On Speed Will Save Us All!,Chicks On Speed Records,"LP, Album",,2000,54621,"LP - 12""",2015-08-23 04:48:32,,,
Children Of Hoof #1,Deerhoof,The Runners Four,Children Of Hoof,"2xLP, Album",,2006,719913,"LP - 12""",2015-09-13 23:53:07,,,
CCS055-2,Nicolas Jaar,Space Is Only Noise,Circus Company,"LP, Album, RE",,2012,3380043,"LP - 12""",2018-01-16 01:46:58,,,
CJN-111,The Nails,Hotel For Women,"City Beat (2), Jimboco Records","12"", EP",,1981,662733,"LP - 12""",2015-12-27 23:42:52,,,
SLANG 009,Yo La Tengo,That Is Yo La Tengo,City Slang,"12"", EP",,1991,1817891,"LP - 12""",2016-11-12 03:47:07,,,
